Year,Source_App,Category_Name,Content_Name,Content_Type,"Total Revenue (Net)",package_base_price,"Total Paying Users"
2026,aliftowew,"PROGRAM BIMBEL TES CPNS TAHUN 2025/2026","Curi Start Bimbel Persiapan Tes CPNS Berikutnya - Masa Aktif 2 Tahun","course + tryout",153000.00,400000.00,1
2026,aliftowew,"BIMBEL SEKOLAH KEDINASAN 2025","Bimbel Intens Sekolah Kedinasan 2025 - Masa Aktif 2 Bulan","course + tryout",132000.00,300000.00,1
2026,cerebrum,"FOKUS UTBK 2026","FOKUS UTBK 2026 - Masa Aktif 4 Bulan","course + journey + liveclass + tryout",55416500.00,250000.00,423
2026,cerebrum,"FOKUS UTBK 2026","SLD UTBK 2026 - Masa Aktif 6 Bulan","course + journey + liveclass + tryout",23322500.00,250000.00,201
2026,cerebrum,"FOKUS UTBK 2026","FOKUS UTBK 2026 - Masa Aktif 4 Bulan [Khusus Perpanjangan]","course + journey + liveclass + tryout",3724500.00,250000.00,33
2026,cerebrum,"FOKUS UTBK 2026","FOKUS UTBK 2026 - Masa Aktif 1 Bulan","course + journey + liveclass + tryout",3531500.00,200000.00,36
2026,cerebrum,"FOKUS UTBK 2026","SLD UTBK 2026 - Masa Aktif 6 Bulan (Khusus Perpanjang)","course + journey + liveclass + tryout",1981500.00,250000.00,19
2026,cerebrum,"FOKUS UTBK 2026","SLD UTBK 2026 - Masa Aktif 1 Tahun","course + journey + liveclass + tryout",1501000.00,450000.00,11
2026,cerebrum,"FOKUS UTBK 2026","SLD UTBK 2026 - Masa Aktif 1 Tahun_","course + journey + liveclass + tryout",360000.00,450000.00,3
2026,cerebrum,"FOKUS UTBK 2026","FOKUS UTBK 2026 - Masa Aktif 1 Bulan [Khusus Perpanjangan]","course + journey + liveclass + tryout",351000.00,200000.00,4
2026,jadiasn,"Program Super Intensif CPNS SKD 2026","Program Super Intensif CPNS SKD 2026 - Masa Aktif 1 Tahun","course + journey + liveclass + tryout",280936703.00,450000.00,1775
